Customer ID,Operation created at Date,Operation Status,transaction_count
0004e809e95e66cf5d87325836f914799d0adaf829d4bea51ab13c0fc581c0dc,2022-01-23,decline,1
009b803995878a776d9680e69a55a141a90d5d12a262573b8d95d55fbf282e06,2021-12-29,decline,1
00c425ad4f26f6a125f7b071faad24f2,2022-03-22,decline,1
010c56bdc78bf07c8d61200de2a667aba8e365bef8e7bbc856a6ef29274e1633,2021-12-29,decline,1
014592cc04d5773ad190f9f732f97d0a3df756512b0a67ce3de0a952910f3985,2021-12-29,decline,2
01ea29b1420482467f21d10d713fede17d1c93cf2495e3d226e73c99007d6585,2022-01-23,decline,1
01fdd187db96ac46f22c3a732c9ff9ae,2022-03-22,decline,1
022314dfcd1d13378bfc70c1abb2bc6345329de30e937f4fc2cb52b8b6e02f17,2021-12-29,decline,8
024ec3a3c380b3522b90344fad7ae6216c6b2fac9514ada9589ebdfda476f1b8,2022-01-23,decline,1
025c9b513dbec814ae1f76a1672e52294868955fb17805e9b3000c49a5a789de,2021-12-29,decline,2
02b3dea8580a5365f593c597604d57816c5fc50ccd46b9e6e08a70809d1a6fd9,2022-01-23,decline,1
02ce0ef11320dc02086b5e09f0e43d4124b2948d21125ae1dc618964ace1074f,2021-12-29,decline,3
02da72a15d6c5cddc601f62315c562b2bd8d859bbf0120314ca15d90fed4d633,2021-12-29,decline,1
0313e940d77886424835f21ab011d396eb6c697ca89576ee9cdb00ddbdf36199,2022-01-23,decline,1
043a85983a8904e220c68baae12961ae6428988041f220f271d64d60b4744b8e,2022-01-23,decline,1
044311dff50504a6874bc7c8cf7042203f6501483205da87dc214d8128c8e0b7,2022-01-23,decline,1
04657fbb367b20d740b5b1941ce010a78ecf436041c7527def9455684d32a56b,2021-12-29,decline,1
048c291e0ee7b9ef9c1c9b70b5c9825f,2022-03-22,decline,1
0497fdfd1a9509c7d284a051f7b077c7,2022-03-22,decline,1
04d507ef459841d4eca89ce583c68d0e,2022-03-22,decline,1
04f578b7662a90b0309e07c93e1f3cb27aaa5cfd350ee12fc609a2c28946325b,2022-01-23,decline,1
0506b9e4bf08ed84a0b405c86ce022ed9247e823dbdef4ef4ddc28d4d0434eee,2021-12-29,decline,2
0548afca2573712c23f857b7da5279225522faee90d134414338e031e6aed89c,2021-12-29,decline,2
0572b11ab5ee63059e257bf6a8921637206d3920abc146dfc96ce8c87ebe75d1,2021-12-29,decline,1
060ec19fdd346e3ccee2e552a0e627819b8ccf6b2810fd5e1c79196db48ba204,2022-01-23,decline,1
06399d442c74ad4e41383a9cee15d536,2022-03-22,decline,1
06604fb28eda4416737f5744a8f62aa999bb2cee78d04ae8e056b7c154c782de,2021-12-29,decline,1
07b8e43345c1b1c5d6d9d3363b66e192e663a37e2d52f0d41ad3452fd4c1d54b,2021-12-29,decline,1
088989313b8712c90d6c21e921c8aad8,2022-03-22,decline,1
088f307f4df6cc713fc3887bb2a1b74337871b4d1de558ee1bc7fd868956d367,2021-12-29,decline,1
08bc044f57ee9425f74e084ea0c3208a68fa332f45f25549e7f807a14b67ab77,2021-12-29,decline,3
08e1187b2300f4d5cbd756db0ddff739,2022-03-22,decline,2
08fae0e4a9e2f75b8878f3daee0e2631af787a32fd1eefe62c582f7ca70875f4,2021-12-29,decline,2
09042e3f55da4fd180763f18457a5c4826b7ffb81aba9460de73d307b4a8f141,2021-12-29,decline,1
09198d5299a11aafcd45bb257bf8098b4ca46d944f379fad1a82ed385f29af8e,2022-01-23,decline,1
0925b2d3ea35fb5b9d8ff16284f64c6112e3bc4e552ecaa7f68f9a7c4ffb715d,2021-12-29,decline,1
093b77d119b479cccecb43d1920cc0d3ba8a348fbce3b253a28947160c87f959,2021-12-29,decline,1
